Date,cost-per-transaction,fees-usd-per-transaction,hash-rate,mvrv,n-payments-per-block,n-transactions-per-block,n-unique-addresses,nvt,nvts,trade-volume
2023-02-02,64.96846234385525,1.5300684866842071,280747934.87902725,1.1771350356033738,5196.2827586206895,2345.993103448276,752262.0,21.28835936712178,19.39937444256437,174375350.1756
2023-02-03,63.265319812257026,1.8067859942422773,279891258.9212971,1.1923164909842883,5562.1353383458645,2375.5714285714284,738211.0,23.808677651650232,20.35223533022338,209173699.2471
2023-02-04,66.85124594707997,1.5637822777257755,275948137.2583781,1.1819120771715823,5162.404411764706,2238.9338235294117,691143.0,24.477405613594097,20.52098312427752,128337774.36260001
2023-02-05,88.10353574882204,1.272898394574146,269106100.69070923,1.1788927153896516,3848.6381578947367,1671.796052631579,594717.0,31.21056087391323,20.8113101816752,60544714.40160001
2023-02-06,71.59855592143414,1.3987352397265682,267153648.2859865,1.1736158981340068,4354.1824324324325,2040.3851351351352,663760.0,37.5404100972646,21.533794708199547,96020495.046
2023-02-07,70.19799587251339,1.6952936395502622,269948142.5149194,1.1554690393826166,4751.887323943662,2115.6971830985917,688379.0,31.01558101488713,21.869844004647366,122812426.03660001
2023-02-08,64.20830628025395,1.3398878844159416,277493276.9330383,1.1614145197870325,4917.826086956522,2296.8333333333335,682912.0,29.113131849472346,22.33460350377989,132768805.09490001
2023-02-09,63.145797815701776,1.3151501008230075,277772726.3559316,1.164325367170629,4740.716049382716,2280.858024691358,783722.0,29.157423717757293,23.15168255137827,92112782.5161
2023-02-10,68.55694837327655,1.9456883263576166,282523366.5451175,1.1282698450439144,4824.768707482993,2041.4421768707482,700869.0,25.029470326814547,23.05857682568496,169203991.5685
2023-02-11,73.82809428508718,1.7486731612960593,286435658.46562356,1.0945219961568062,4458.751677852349,1881.3355704697988,654726.0,15.922347913584604,23.00515955213843,111347434.20449999
2023-02-12,86.33315204847115,1.584801434934063,290068500.9632364,1.0966363243432706,3817.6832298136646,1612.6832298136646,617837.0,20.108831163789727,23.4019746021104,51250711.512
2023-02-13,72.38663198102537,1.756259548016865,292441247.50859976,1.101491357047265,4176.275641025641,1918.775641025641,666916.0,26.772625715230806,23.859004128304765,62423957.20999999
2023-02-14,71.52528275182527,1.8717108394371114,294461323.19596463,1.094480685045064,4262.272727272727,1965.2792207792209,675701.0,24.1692153834128,24.401419650655846,111345779.8558
2023-02-15,73.35255185216889,2.4639057819912726,297601959.64792544,1.1045461424418377,4342.509202453988,1996.6871165644172,723537.0,23.27769170091514,25.563276176616224,119927061.14999999
