Date,datetime,open,high,low,close,volume,name
9537,2024-04-05 21:00:00,67672.84,67856.82,67546.18,67546.29,363.21,BTC
9538,2024-04-05 22:00:00,67546.29,67861.36,67540.44,67649.78,329.92,BTC
9539,2024-04-05 23:00:00,67649.78,67991.81,67645.68,67860.53,400.44,BTC
9540,2024-04-06 00:00:00,67860.53,68081.38,67727.71,67958.18,437.73,BTC
9541,2024-04-06 01:00:00,67958.18,68005.22,67705.46,67735.68,307.26,BTC
9542,2024-04-06 02:00:00,67735.68,67804.36,67483.82,67609.37,535.04,BTC
9543,2024-04-06 03:00:00,67609.37,67903.51,67609.33,67830.08,243.42,BTC
9544,2024-04-06 04:00:00,67830.08,67847.44,67649.75,67778.08,289.51,BTC
9545,2024-04-06 05:00:00,67778.08,68247.08,67760.87,68058.77,563.98,BTC
9546,2024-04-06 06:00:00,68058.77,68188.18,67909.58,68136.18,257.95,BTC
9547,2024-04-06 07:00:00,68136.18,68211.66,67970.72,68032.08,570.16,BTC
9548,2024-04-06 08:00:00,68032.08,68129.86,67904.05,68048.67,350.59,BTC
9549,2024-04-06 09:00:00,68048.67,68142.04,67804.79,67823.93,360.44,BTC
9550,2024-04-06 10:00:00,67823.93,67907.51,67759.95,67869.99,309.14,BTC
9551,2024-04-06 11:00:00,67869.99,67920.57,67648.6,67690.03,351.22,BTC
9552,2024-04-06 12:00:00,67690.03,67814.31,67636.33,67763.72,206.33,BTC
9553,2024-04-06 13:00:00,67763.72,67766.74,67578.01,67725.84,281.76,BTC
9554,2024-04-06 14:00:00,67725.84,68083.45,67715.24,68016.24,389.01,BTC
9555,2024-04-06 15:00:00,68016.24,68286.33,67925.9,68124.96,522.62,BTC
9556,2024-04-06 16:00:00,68124.96,68194.11,67965.39,68155.0,427.06,BTC
9557,2024-04-06 17:00:00,68155.0,68485.06,68059.64,68319.05,656.3,BTC
9558,2024-04-06 18:00:00,68319.05,68393.03,68214.67,68321.73,359.88,BTC
9559,2024-04-06 19:00:00,68321.73,68443.19,68244.05,68288.22,390.55,BTC
9560,2024-04-06 20:00:00,68288.22,68427.34,68197.73,68416.01,437.85,BTC
9561,2024-04-06 21:00:00,68416.01,68461.19,68329.32,68333.2,476.46,BTC
9562,2024-04-06 22:00:00,68333.2,69088.75,68317.8,69068.16,1084.05,BTC
9563,2024-04-06 23:00:00,69068.16,69672.09,68837.16,68913.79,1506.46,BTC
9564,2024-04-07 00:00:00,68913.79,69170.48,68877.35,69034.11,705.55,BTC
9565,2024-04-07 01:00:00,69034.11,69636.93,69018.5,69566.65,901.81,BTC
9566,2024-04-07 02:00:00,69566.65,69786.18,69331.89,69335.86,902.31,BTC
9567,2024-04-07 03:00:00,69335.86,69519.55,69270.53,69432.61,416.4,BTC
9568,2024-04-07 04:00:00,69432.61,69521.53,69104.36,69340.7,664.6,BTC
9569,2024-04-07 05:00:00,69340.7,69475.28,69319.11,69418.9,425.05,BTC
9570,2024-04-07 06:00:00,69418.9,69440.5,69181.26,69271.02,251.06,BTC
9571,2024-04-07 07:00:00,69271.02,69491.77,69259.21,69385.88,214.59,BTC
9572,2024-04-07 08:00:00,69385.88,69580.47,69364.71,69517.95,253.96,BTC
9573,2024-04-07 09:00:00,69517.95,69517.98,69243.64,69309.12,224.84,BTC
9574,2024-04-07 10:00:00,69309.12,69508.94,69263.04,69347.52,221.38,BTC
9575,2024-04-07 11:00:00,69347.52,69427.28,69227.16,69380.02,198.56,BTC
9576,2024-04-07 12:00:00,69380.02,69434.03,69227.31,69361.54,313.84,BTC
9577,2024-04-07 13:00:00,69361.54,69549.34,69312.92,69370.58,361.12,BTC
9578,2024-04-07 14:00:00,69370.58,69667.42,69239.24,69588.05,533.24,BTC
9579,2024-04-07 15:00:00,69588.05,69882.56,69391.13,69570.12,772.58,BTC
9580,2024-04-07 16:00:00,69570.12,70303.08,69508.8,70062.34,1967.85,BTC
9581,2024-04-07 17:00:00,70062.34,70097.41,69674.7,69799.75,770.18,BTC
9582,2024-04-07 18:00:00,69799.75,69823.87,69255.55,69400.08,828.12,BTC
9583,2024-04-07 19:00:00,69400.08,69510.03,68915.15,69075.94,929.06,BTC
9584,2024-04-07 20:00:00,69075.94,69402.24,68984.62,69322.59,358.57,BTC
9585,2024-04-07 21:00:00,69322.59,69413.79,69042.54,69042.54,420.93,BTC
9586,2024-04-07 22:00:00,69042.54,69348.48,68917.29,69210.21,547.4,BTC
9587,2024-04-07 23:00:00,69210.21,69469.78,69191.04,69357.32,508.77,BTC
9588,2024-04-08 00:00:00,69357.32,69432.29,69064.41,69324.01,635.86,BTC
9589,2024-04-08 01:00:00,69324.01,69818.99,69283.02,69433.15,946.87,BTC
9590,2024-04-08 02:00:00,69433.15,69434.19,69133.55,69219.39,509.63,BTC
9591,2024-04-08 03:00:00,69219.39,69481.48,69145.09,69459.01,395.31,BTC
9592,2024-04-08 04:00:00,69459.01,69492.25,69292.57,69396.15,211.26,BTC
9593,2024-04-08 05:00:00,69396.15,69805.26,69395.62,69715.74,571.84,BTC
9594,2024-04-08 06:00:00,69715.74,69828.34,69661.16,69808.27,629.05,BTC
9595,2024-04-08 07:00:00,69808.27,70839.02,69802.13,70701.9,2112.73,BTC
9596,2024-04-08 08:00:00,70701.9,72132.15,70661.56,71968.64,4617.48,BTC
9597,2024-04-08 09:00:00,71968.64,72605.56,71671.65,72188.68,3257.61,BTC
9598,2024-04-08 10:00:00,72188.68,72368.13,71792.02,72316.23,2035.97,BTC
9599,2024-04-08 11:00:00,72316.23,72626.33,72221.64,72374.83,1386.11,BTC
9600,2024-04-08 12:00:00,72374.83,72750.51,72132.72,72175.41,2006.35,BTC
9601,2024-04-08 13:00:00,72175.41,72281.11,71676.2,71937.84,2613.36,BTC
9602,2024-04-08 14:00:00,71937.84,71970.0,71245.26,71704.68,3272.39,BTC
9603,2024-04-08 15:00:00,71704.68,71988.23,71593.91,71778.61,1875.5,BTC
9604,2024-04-08 16:00:00,71778.61,72018.46,71568.0,71758.08,1801.45,BTC
9605,2024-04-08 17:00:00,71758.08,71811.65,71315.81,71710.45,1239.41,BTC
9606,2024-04-08 18:00:00,71710.45,72127.71,71686.06,71931.18,1184.38,BTC
9607,2024-04-08 19:00:00,71931.18,71989.51,71553.71,71728.87,1790.6,BTC
9608,2024-04-08 20:00:00,71728.87,71782.04,71486.8,71702.98,1335.74,BTC
9609,2024-04-08 21:00:00,71702.98,71871.91,71624.07,71689.12,510.71,BTC
9610,2024-04-08 22:00:00,71689.12,71946.2,71592.43,71915.98,807.25,BTC
9611,2024-04-08 23:00:00,71915.98,71998.76,71613.68,71629.36,712.49,BTC
9612,2024-04-09 00:00:00,71629.36,71748.92,71342.96,71431.3,1013.05,BTC
9613,2024-04-09 01:00:00,71431.3,71457.85,70868.76,71284.5,1333.95,BTC
9614,2024-04-09 02:00:00,71284.5,71605.86,71166.81,71480.77,803.48,BTC
9615,2024-04-09 03:00:00,71480.77,71635.82,71192.01,71289.02,581.7,BTC
9616,2024-04-09 04:00:00,71289.02,71329.92,70922.92,71197.09,762.62,BTC
9617,2024-04-09 05:00:00,71197.09,71320.99,70957.78,71047.56,720.53,BTC
9618,2024-04-09 06:00:00,71047.56,71282.25,70604.79,70780.29,1224.87,BTC
9619,2024-04-09 07:00:00,70780.29,70944.25,70214.93,70402.51,1363.97,BTC
9620,2024-04-09 08:00:00,70402.51,70609.77,69643.47,70527.26,2430.07,BTC
9621,2024-04-09 09:00:00,70527.26,70850.02,70283.83,70413.57,1043.96,BTC
9622,2024-04-09 10:00:00,70413.57,70681.27,70250.02,70587.46,701.32,BTC
9623,2024-04-09 11:00:00,70587.46,70903.21,70580.37,70787.43,1014.04,BTC
9624,2024-04-09 12:00:00,70787.43,70958.62,70653.53,70690.98,767.4,BTC
9625,2024-04-09 13:00:00,70690.98,70932.45,69932.44,69937.72,1890.03,BTC
9626,2024-04-09 14:00:00,69937.72,70428.61,68636.53,69337.43,4511.99,BTC
9627,2024-04-09 15:00:00,69337.43,69340.39,68538.95,69246.51,3057.95,BTC
9628,2024-04-09 16:00:00,69246.51,69294.26,68493.16,68578.48,2577.91,BTC
9629,2024-04-09 17:00:00,68578.48,68918.2,68213.24,68791.96,2040.09,BTC
9630,2024-04-09 18:00:00,68791.96,68971.58,68747.07,68855.29,1246.05,BTC
9631,2024-04-09 19:00:00,68855.29,69136.27,68646.81,68980.57,2267.79,BTC
9632,2024-04-09 20:00:00,68980.57,69184.41,68945.51,69136.12,859.22,BTC
9633,2024-04-09 21:00:00,69136.12,69222.86,68929.39,69193.2,571.27,BTC
9634,2024-04-09 22:00:00,69193.2,69409.83,69131.8,69308.59,976.52,BTC
9635,2024-04-09 23:00:00,69308.59,69312.97,68874.33,69129.48,778.93,BTC
9636,2024-04-10 00:00:00,69129.48,69274.5,69020.43,69110.46,629.13,BTC
9637,2024-04-10 01:00:00,69110.46,69239.55,68591.13,69238.14,1148.18,BTC
9638,2024-04-10 02:00:00,69238.14,69575.83,68487.06,68666.67,1187.8,BTC
9639,2024-04-10 03:00:00,68666.67,69167.86,68630.37,69143.85,824.04,BTC
9640,2024-04-10 04:00:00,69143.85,69195.23,69010.38,69125.68,423.23,BTC
9641,2024-04-10 05:00:00,69125.68,69389.57,69111.35,69243.97,492.1,BTC
9642,2024-04-10 06:00:00,69243.97,69465.84,69226.03,69372.15,408.67,BTC
9643,2024-04-10 07:00:00,69372.15,69504.53,69273.07,69327.56,442.22,BTC
9644,2024-04-10 08:00:00,69327.56,69327.98,68816.59,69012.46,1164.86,BTC
9645,2024-04-10 09:00:00,69012.46,69169.91,68922.61,69138.43,588.09,BTC
9646,2024-04-10 10:00:00,69138.43,69194.83,68646.82,68936.75,1174.0,BTC
9647,2024-04-10 11:00:00,68936.75,69128.01,68855.84,69041.4,498.62,BTC
9648,2024-04-10 12:00:00,69041.4,69197.05,67535.77,67950.35,5736.24,BTC
9649,2024-04-10 13:00:00,67950.35,68273.16,67480.7,68225.81,2971.95,BTC
9650,2024-04-10 14:00:00,68225.81,68974.31,67985.06,68704.69,2865.73,BTC
9651,2024-04-10 15:00:00,68704.69,68760.99,68286.49,68659.72,1434.15,BTC
9652,2024-04-10 16:00:00,68659.72,69554.29,68578.73,69521.41,2910.54,BTC
9653,2024-04-10 17:00:00,69521.41,69934.1,69160.03,69351.39,2672.13,BTC
9654,2024-04-10 18:00:00,69351.39,69412.09,69071.0,69313.98,1852.25,BTC
9655,2024-04-10 19:00:00,69313.98,70071.92,69220.5,70071.92,1978.84,BTC
9656,2024-04-10 20:00:00,70071.92,70132.25,69744.76,69808.75,1183.69,BTC
9657,2024-04-10 21:00:00,69808.75,70027.78,69586.23,70025.12,926.88,BTC
9658,2024-04-10 22:00:00,70025.12,71150.5,70019.76,70540.74,2659.28,BTC
9659,2024-04-10 23:00:00,70540.74,70803.3,70494.68,70628.54,969.81,BTC
9660,2024-04-11 00:00:00,70628.54,70662.44,70286.1,70520.83,900.25,BTC
9661,2024-04-11 01:00:00,70520.83,70758.06,70482.59,70566.52,1030.73,BTC
9662,2024-04-11 02:00:00,70566.52,71053.37,70524.59,70993.64,867.51,BTC
9663,2024-04-11 03:00:00,70993.64,71017.32,70775.02,70854.02,628.57,BTC
9664,2024-04-11 04:00:00,70854.02,70884.53,70394.5,70614.84,879.54,BTC
9665,2024-04-11 05:00:00,70614.84,70683.68,70465.19,70600.33,453.62,BTC
9666,2024-04-11 06:00:00,70600.33,70834.22,70583.2,70716.71,558.13,BTC
9667,2024-04-11 07:00:00,70716.71,71297.81,70716.47,70749.44,1077.79,BTC
9668,2024-04-11 08:00:00,70749.44,71250.25,70664.89,71039.57,982.69,BTC
9669,2024-04-11 09:00:00,71039.57,71053.7,70604.0,70613.81,802.16,BTC
9670,2024-04-11 10:00:00,70613.81,70770.79,70413.63,70445.02,622.43,BTC
9671,2024-04-11 11:00:00,70445.02,70584.87,69892.91,69996.09,1001.54,BTC
9672,2024-04-11 12:00:00,69996.09,71083.79,69923.89,70865.35,1281.53,BTC
9673,2024-04-11 13:00:00,70865.35,70986.11,69679.12,70283.38,2649.08,BTC
9674,2024-04-11 14:00:00,70283.38,70328.18,69573.41,69586.91,1791.66,BTC
9675,2024-04-11 15:00:00,69586.91,70021.23,69558.05,70003.03,1052.12,BTC
9676,2024-04-11 16:00:00,70003.03,70125.71,69586.36,70012.3,1402.06,BTC
9677,2024-04-11 17:00:00,70012.3,70428.76,69996.32,70203.22,1247.99,BTC
9678,2024-04-11 18:00:00,70203.22,70431.83,69959.48,70102.06,715.38,BTC
9679,2024-04-11 19:00:00,70102.06,70563.13,70013.24,70486.8,2006.42,BTC
9680,2024-04-11 20:00:00,70486.8,70767.62,70406.14,70519.0,1140.77,BTC
9681,2024-04-11 21:00:00,70519.0,70520.51,70066.41,70141.24,531.78,BTC
9682,2024-04-11 22:00:00,70141.24,70286.36,70063.01,70187.27,544.75,BTC
9683,2024-04-11 23:00:00,70187.27,70225.72,69851.75,70026.43,819.94,BTC
9684,2024-04-12 00:00:00,70026.43,70359.31,70014.66,70312.74,560.7,BTC
9685,2024-04-12 01:00:00,70312.74,70373.74,70136.25,70298.8,522.75,BTC
9686,2024-04-12 02:00:00,70298.8,70789.05,70225.15,70659.06,913.25,BTC
9687,2024-04-12 03:00:00,70659.06,71013.36,70656.54,71000.78,1125.71,BTC
9688,2024-04-12 04:00:00,71000.78,71246.69,70839.57,71131.37,896.2,BTC
9689,2024-04-12 05:00:00,71131.37,71185.85,70922.16,70975.98,501.92,BTC
9690,2024-04-12 06:00:00,70975.98,71023.52,70748.46,70885.71,544.74,BTC
9691,2024-04-12 07:00:00,70885.71,70977.08,70589.1,70779.65,712.34,BTC
9692,2024-04-12 08:00:00,70779.65,70902.75,70624.45,70783.41,699.87,BTC
9693,2024-04-12 09:00:00,70783.41,70875.55,70523.34,70645.27,796.06,BTC
9694,2024-04-12 10:00:00,70645.27,70846.49,70604.65,70771.21,608.91,BTC
